,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
40,The Kominsky Method,Comedy-drama,Chuck Lorre,"['Michael Douglas', 'Alan Arkin', 'Sarah Baker', 'Nancy Travis', 'Kathleen Turner']",,United States,English,2,16 ,"['Chuck Lorre', 'Al Higgins', 'Michael Douglas']",Anette Haellmigk,"['Matthew Barbato', 'Gina Sansom']",22–33 minutes,"['Chuck Lorre Productions', 'Warner Bros. Television']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"November 16, 2018 (2018-11-16) –present (present)",22,present,,Marlis Pujol,,,,,,,,,,,Jeff Cardoni,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sex Education,"['Comedy-drama', 'Sex comedy', 'Teen drama']",Laurie Nunn,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey', 'Connor Swindells', 'Kedar Williams-Stirling', 'Aimee Lou Wood', 'Patricia Allison', 'Alistair Petrie', 'Tanya Reynolds']","['Oli Julian', 'Ezra Furman']",United Kingdom,English,N/A,16 ,"['Jamie Campbell', 'Ben Taylor', 'Laurie Nunn']","['Jamie Cairney', 'Oli Russell']","['Steve Ackroyd', 'David Webb', 'Calum Ross']",47–59 minutes,,,Netflix,4K (UHDTV),,11 January 2019 (2019-01-11) –present (present),47,present,,Jon Jennings,,,,,,,,Eleven Film,,,,,,,,"['Matt Biffa', 'Ciara Elwis', 'Ruby Wasmuth', 'Fiona Cruickshank', 'Sam Thompson']",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Russian Doll,"['Comedy-drama', 'Mystery']","['Natasha Lyonne', 'Leslye Headland', 'Amy Poehler']","['Natasha Lyonne', 'Greta Lee', 'Yul Vazquez', 'Charlie Barnett', 'Elizabeth Ashley']",,United States,English,1,8 ,"['Natasha Lyonne', 'Leslye Headland', 'Amy Poehler', 'Dave Becky', 'Tony Hernandez', 'Lilly Burns', 'Allison Silverman']",Chris Teague,"['Todd Downing', 'Laura Weinberg']",24–30 minutes,"['Universal Television', 'Paper Kite Productions', 'Jax Media', '3 Arts Entertainment', 'Avenue A', 'Shoot to Midnight']",NBCUniversal Television Distribution,Netflix,,,"February 1, 2019 (2019-02-01) –present (present)",24,present,,,,,,,,,,,,"['Kate Arend', 'John Skidmore', 'Ryan McCormick']",Joe Wong,,,,"['Leslye Headland', 'Jamie Babbit', 'Natasha Lyonne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,After Life,"['Black comedy', 'Comedy-drama']",Ricky Gervais,"['Ricky Gervais', 'Diane Morgan', 'Tom Basden', 'Tony Way', 'Mandeep Dhillon', 'Ashley Jensen', 'David Bradley', 'Kerry Godliman', 'Penelope Wilton', 'David Earl', 'Joe Wilkinson', 'Jo Hartley', 'Roisin Conaty', 'Paul Kaye']",,United Kingdom,,N/A,12 ,"['Ricky Gervais', 'Duncan Hayes']",Martin Hawkins,,25–31 minutes,,,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,8 March 2019 (2019-03-08) –present,25,present,,Charlie Hanson,,,,,,,,Derek Productions Limited,,,Andy Burrows,Jo Walker,Single-camera,Ricky Gervais,Ricky Gervais,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Special,Comedy,Ryan O'Connell,"[""Ryan O'Connell"", 'Jessica Hecht', 'Punam Patel', 'Marla Mindelle', 'Augustus Prew', 'Patrick Fabian']",,United States,English,1,8 ,"['Anna Dokoza', 'Eric Norsoph', ""Ryan O'Connell"", 'Todd Spiewak', 'Jim Parsons']",Philip Roy,,12–17 minutes,"['Warner Bros. Television', ""That's Wonderful Productions"", 'Campfire', 'Stage 13']",Netflix,Netflix,4K (16:9 UHDTV),Dolby Digital,"April 12, 2019 (2019-04-12) –present (present)",12,present,,,,,I'm Special: And Other Lies We Tell Ourselvesby Ryan O'Connell,,,,,,,,Joshua Moshier,Thomas Calderón,Single-camera,Ryan O'Connell,Anna Dokoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,I Think You Should Leave with Tim Robinson,,"['Zach Kanin', 'Tim Robinson']",Tim Robinson,,United States,English,1,6 ,"['Zach Kanin', 'Tim Robinson', 'Andy Samberg', 'Akiva Schaffer', 'Jorma Taccone', 'Becky Sloviter', 'Alex Bach', 'Daniel Powell']",,,16–18 minutes,"['Irony Point', 'Party Over Here']",Netflix,Netflix,,,"April 23, 2019 (2019-04-23) –present",16,present,Doris Wilson,,,,,,,,Big Flame (Is Gonna Break My Heart In Two),,,['Jay Patumanoan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Bonding,"['Dark comedy', 'Comedy-drama', 'Sex comedy']",Rightor Doyle,"['Zoe Levin', 'Brendan Scannell', 'Micah Stock', 'Theo Stockman', ""D'Arcy Carden""]",,United States,English,2,15 ,"['Rightor Doyle', 'Dara Gordon', 'Jacob Perlin', 'Nina Soriano', 'Tom Schembri', 'David Sigurani']",,,13–17 minutes,"['Blackpills', 'Anonymous Content', 'Jax Media (season 2)', 'Rightor Doyle Productions (season 2)']",,Netflix,4K (16:9 UHDTV),Dolby Digital,"April 24, 2019 (2019-04-24) –present (present)",13,present,,,,,,,,,,,,,Adam Crystal,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dead to Me,"['Dark comedy', 'Dramedy', 'Tragicomedy']",Liz Feldman,"['Christina Applegate', 'Linda Cardellini', 'James Marsden', 'Max Jenkins', 'Sam McCarthy', 'Luke Roessler']",,United States,English,2,20 ,"['Liz Feldman', 'Will Ferrell', 'Adam McKay', 'Jessica Elbaum', 'Christina Applegate', 'Christie Smith']","['Danny Moder (season 1)', 'Toby Oliver (season 2)']","['Liza Cardinale', 'Grady Cooper', 'Iris Hershner', 'Nicole Brik']",26–34 minutes,"['Gloria Sanchez Productions', 'Visualized, Inc.', 'CBS Television Studios']",,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"May 3, 2019 (2019-05-03) –present (present)",26,present,,,,,,,,,,,,"['Joe Hardesty', 'Linda Cardellini', 'Peter Chomsky', 'Buddy Enright', 'Denise Pleune']",Adam Blau,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Malibu Rescue,Action-adventureComedy,"['Savage Steve Holland', 'Scott McAboy']","['Ricardo Hurtado', 'Breanna Yde', 'Jackie R. Jacobson', 'Abby Donnelly', 'Alkoya Brunson']",,United States,English,1,8 ,"['Scott Thomas', 'Jed Elinoff', 'Savage Steve Holland', 'Scott McAboy']",Keith Dunkerley,,,"['Pacific Bay Entertainment', 'Entertainment Force']",Netflix,Netflix,,,"May 13, 2019 (2019-05-13) –present",,present,,Amy Sydorick,,,,,,,,,,,Zack Ryan,Michael John Bateman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mr. Iglesias,['Sitcom'],Kevin Hench,"['Gabriel ""Fluffy"" Iglesias', 'Sherri Shepherd', 'Jacob Vargas', 'Maggie Geha', 'Richard Gant', 'Cree Cicchino', 'Fabrizio Guido', 'Tucker Albrizzi']",,United States,English,2 ,21 ,"['Kevin Hench', 'Gabriel Iglesias', 'Ron DeBlasio', 'Joe Meloche', 'Andy Ackerman', 'Peter Murrieta']",Peter Smokler,,26–32 minutes,"['Hench in the Trench Productions', 'Fluffy Shop Studios']",,Netflix,4K; HDR,Dolby Digital,"June 21, 2019 (2019-06-21) –present (present)",26,present,Ozomatli,,,,,,,,,,,"['Chris Arrington', 'Isaac Gonzalez']",Joseph LoDuca,Scott Hill,Multi-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Family Reunion,"['Comedy', 'Sitcom']",Meg DeLoatch,"['Tia Mowry', 'Anthony Alabi', 'Talia Jackson', 'Isaiah Russell-Bailey', 'Cameron J. Wright', 'Jordyn Raya James', 'Loretta Devine']",,United States,English,1 ,20 ,,John Simmons,,25–34 minutes,,,Netflix,,,"July 10, 2019 (2019-07-10) –present (present)",25,present,,,,,,,,,,Mega Diva,,"['Robert West', 'Scott Hartle']",Wendell Hanes,Russell Griffin,Multi-camera,,,,,,,,,Meg DeLoatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,The Politician,"['Satire', 'Comedy-drama', 'Cringe comedy']","['Ryan Murphy', 'Brad Falchuk', 'Ian Brennan']","['Ben Platt', 'Zoey Deutch', 'Lucy Boynton', 'Bob Balaban', 'David Corenswet', 'Julia Schlaepfer', 'Laura Dreyfuss', 'Theo Germaine', 'Rahne Jones', 'Benjamin Barrett', 'Jessica Lange', 'Gwyneth Paltrow', 'Judith Light', 'Bette Midler']",,United States,English,2,15 ,"['Ryan Murphy', 'Brad Falchuk', 'Ian Brennan', 'Alexis Martin Woodall', 'Ben Platt', 'Gwyneth Paltrow']","['Nelson Cragg', 'Simon Dennis', 'Tim Norman']","['Shelly Westerman', 'Danielle Wang', 'Peggy Tachdjian', 'Chris A. Peterson', 'Franzis Muller', 'Erick Fefferman', 'Lisa Trulli', 'Lauren Stewart', 'Tom Kipley']",28–62 minutes,"['Prospect Films', 'Brad Falchuk Teley-Vision', 'Ryan Murphy Television', 'Fox 21 Television Studios']",20th Television,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"September 27, 2019 (2019-09-27) –present (present)",28,present,,,,,,,,,"""Chicago"" by Sufjan Stevens",,,"['Kenneth Silverstein', 'Todd Nenninger', 'Lou Eyrich', 'Eryn Krueger Mekash', 'Kristin Bernstein', 'Jeff Dickerson']",Mac Quayle,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Gentefied,Comedy-drama,Marvin Lemus & Linda Yvette Chávez,"['Joaquín Cosío', 'J.J. Soria', 'Karrie Martin', 'Carlos Santos']",,United States,,1,10 ,"['Monica Macer', 'Charles D. King', 'Aaliyah Williams', 'Kim Roth', 'America Ferrera', 'Teri Weinberg']",Logan Schneider,"['Edwin Ulysses Rivera', 'Jesus Huidobro']",25–32 minutes,"['MACRO', 'Sector 7 Productions', 'Anchor Baby Productions', 'Take Fountain Productions', 'Yellow Brick Road']",,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,"February 21, 2020 (2020-02-21) –present (present)",25,present,,Wileen Dragovan,,,,,,,,,,,,,Single-camera,,,Brian D'Oliveira,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,The Iliza Shlesinger Sketch Show,,,,,United States,,1,6 ,,,,18 minutes,,,Netflix,,,"April 1, 2020 (2020-04-01) –present",18,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Brews Brothers,,Greg Schaffer,"['Alan Aisenberg', 'Mike Castle', 'Carmen Flood', 'Marques Ray']",,United States,English,1,8,"['Jeff Schaffer', 'Greg Schaffer', 'Keith Quinn', 'Jonathan Stern']",Patrick Stewart,"['George Mandl', 'Colin Johnson']",26–30 minutes,"['Abominable Pictures', 'Schaffer Brothers Productions']",,Netflix,,,"April 10, 2020 (2020-04-10)",26,04,,,,,,,,,,,,"['Franny Baldwin', 'David Soldinger']",,,Single-camera,,,Scott Doherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,#blackAF,Mockumentary,Kenya Barris,"['Rashida Jones', 'Kenya Barris', 'Iman Benson', 'Genneya Walton', 'Scarlet Spencer', 'Justin Claiborne', 'Ravi Cabot-Conyers']",,United States,English,1,8,"['Kenya Barris', 'Rashida Jones', 'Hale Rothstein']",Adam Bricker,"['Steven Rasch', 'Christine Armstrong']",32-48 minutes,"['Khalabo Ink Society', 'Le Train Train']",,Netflix,,,"April 17, 2020 (2020-04-17) –present",32,present,,,Los Angeles,,,,,,"""Win"" by Jay Rock",,,"['Bryan J. Raber', 'Yassir Lester', 'Doug Hall', 'Danny Segal', 'Isaac Schamis', 'Mychelle Deschamps']",,,Single-camera,,,Vincent Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Never Have I Ever,Comedy-dramaComing of ageTeen drama,Mindy KalingLang Fisher,"['Maitreyi Ramakrishnan', 'Richa Moorjani', 'Jaren Lewison', 'Darren Barnet', 'John McEnroe', 'Poorna Jagannathan']",,United States,English,1,10,"['Mindy Kaling', 'Lang Fisher', 'Howard Klein', 'David Miner', 'Tristram Shapeero']",,,22–30 minutes,"['Kaling International, Inc.', 'Original Langster', '3 Arts Entertainment', 'Universal Television']",Netflix,Netflix,,,"April 27, 2020 (2020-04-27) –present (present)",22,present,,,,"Los Angeles, California",,,,"['John McEnroe', 'Andy Samberg']",,,,,Joseph Stephens,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Space Force,Comedy,"['Steve Carell', 'Greg Daniels']","['Steve Carell', 'John Malkovich', 'Ben Schwartz', 'Diana Silvers', 'Tawny Newsome']",,United States,English,1,10 ,"['Greg Daniels', 'Steve Carell', 'Howard Klein', 'Brent Forrester', 'Paul King']",Simon Chapman,"['David Rogers', 'Susan Vaill']",27–36 minutes,"['Deedle-Dee Productions', 'Film Flam', '3 Arts Entertainment']",,Netflix,4K (2:1 UHDTV in Dolby Vision),Dolby Atmos,"May 29, 2020 (2020-05-29) –present",27,present,,,,,,,,,,,,"['Caroline James', 'Lauren Houseman', 'Michael Maccarone']",,,Single-camera,,,Carter Burwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,The Baby-Sitters Club,Comedy-drama,Rachel Shukert,"['Sophie Grace', 'Momona Tamada', 'Shay Rudolph', 'Malia Baker', 'Alicia Silverstone', 'Mark Feuerstein', 'Xochitl Gomez']",,United States,English,1,10,"['Rachel Shukert', 'Lucia Aniello', 'Michael De Luca', 'Lucy Kitada', 'Frank Smith', 'Naia Cucukov', 'Benjamin Forrer']",Adam Silver,"['Joseph Ettinger', 'Jamie Gross', 'Janet Weinberg']",22–27 minutes,"['Terrible Baby Productions', 'Paulilu', 'Michael De Luca Productions', 'Walden Media']",Netflix,Netflix,,,"July 3, 2020 (2020-07-03) –present (present)",22,present,,,,,The Baby-Sitters Clubby Ann M. Martin,,,,,,,"['Meg Schave', 'Ann M. Martin', 'Lyle Friedman', 'Ashley Glazier']",,,,,,Jesse Novak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Game On: A Comedy Crossover Event,,,"['Paul Wight', 'Allison Munn', 'Reylynn Caster', ""Lily Brooks O'Briant"", 'Juliet Donenfeld', 'Gabriel ""Fluffy"" Iglesias', 'Sherri Shepherd', 'Jacob Vargas', 'Maggie Geha', 'Cree Cicchino', 'Fabrizio Guido', 'Tucker Albrizzi', 'Paulina Chávez', 'Conor Husting', 'Bella Podaras', 'Reed Horstmann', 'Jencarlos Canela', 'Tia Mowry', 'Anthony Alabi', 'Talia Jackson', 'Isaiah Russell-Bailey', 'Cameron J. Wright', 'Jordyn Raya James', 'Loretta Devine']",,United States,English,1,4,"['Josh Bycel', 'Jason Berger', 'Susan Levison', 'Richard Lowell', 'Kevin Hench', 'Gabriel Iglesias', 'Peter Murrieta', 'Ron DeBlasio', 'Joe Meloche', 'Seth Kurland', 'Mario Lopez', 'David Kendall', 'Mark Schulman', 'Meg DeLoatch']","['Joe Pennella', 'Peter Smokler', 'John Simmons']","['Chris Harvey', 'Scott Hill', 'Stephen Prime', 'Russell Griffin']",27–30 minutes,,Netflix,Netflix,,,"August 10, 2020 (2020-08-10)",27,08,,,,,,,,,,,,"['Pixie Wespiser', 'Chris Arrington', 'Isaac Gonzalez', 'Philippe Iujvidin', 'Patty Gary-Cox', 'Scott Hartle']",,,,,,"['Chris Alan Lee', 'Joseph LoDuca', 'Danny Lux', 'Michael Reola', 'Wendell Hanes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
