,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
10,Virgin River,Romantic drama,,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Jenny Cooper', 'Lauren Hammersley', ""Annette O'Toole"", 'Tim Matheson', 'Benjamin Hollingsworth', 'Grayson Gurnsey', 'Sarah Dugdale']",,United States,English,2,20 ,"['Robyn Carr', 'Christopher E. Perry', 'Sue Tenney', 'Roma Roth', 'Jocelyn Freid']","['David Pelletier', 'David J. Frazee', 'Toby Gorman']","['Daria Ellerman', 'Nicole Ratcliffe', 'Lara Mazur', 'Kirk Hay']",40–48 minutes,,,Netflix,,,"December 6, 2019 (2019-12-06) –present (present)",40,present,,Ian Hay,,,Virgin River novelsby Robyn Carr,Sue Tenney,,,,Reel World Management,,,,,,,,Jeff Garber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Locke & Key,"['Supernatural horror', 'Fantasy', 'Drama']",,"['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott', 'Petrice Jones', 'Laysla De Oliveira', 'Griffin Gluck']",,United States,English,1,10 ,"['Carlton Cuse', 'Meredith Averill', 'Lindsey Springer', 'Tim Southam', 'Michael Morris', 'Joe Hill', 'John Weber', 'Frank Siracusa', 'Aron Eli Coleite', 'Chris Ryall', 'Ted Adams', 'Lydia Antonini', 'Andy Muschietti', 'Barbara Muschietti', 'David Alpert', 'Rick Jacobs']","['Tico Poulakakis', 'Colin Hoult']","['Matthew V. Colonna', 'Lilly Urban', 'Paul Trejo', 'Andrew Behrens', 'Philip Fowler']",40–56 minutes,"['Genre Arts', 'Hard A Productions', 'Circle of Confusion', 'IDW Entertainment']",,Netflix,,,"February 7, 2020 (2020-02-07) –present (present)",40,present,,,,"['Toronto, Ontario', 'Lunenburg, Nova Scotia']",Locke & Keyby Joe Hill and Gabriel Rodriguez,"['Carlton Cuse', 'Meredith Averill', 'Aron Eli Coleite']",,,,,,"[""Ra'uf Glasgow"", 'Kevin Lafferty', 'Nishpeksh Mehra']",,,Single-camera,,,Torin Borrowdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,The Letter for the King,,,"['Amir Wilson', 'Ruby Ashbourne Serkis', 'Thaddea Graham', 'Gijs Blom']",, United Kingdom Netherlands,English,1,6 ,"['Will Davies', 'Paul Trijbits']",,,,,,Netflix,,,,,,,Chris Clark,,"['New Zealand', 'Czech Republic']",De brief voor de Koningby Tonke Dragt,,,,,FilmWave,,,Brandon Campbell,,,Will Davies,"['Alex Holmes', 'Felix Thompson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Outer Banks,"['Teen drama', 'Action-adventure', 'Mystery', 'Thriller']","['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss', 'Rudy Pankow', 'Austin North', 'Charles Esten', 'Drew Starkey']",,United States,English,1,10,"['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['J.B. Smith', 'Gonzalo Amat']","['Sunny Hodge', 'Christal Khatib', 'Jeffrey M. Werner', 'Kyle Bond', 'Scott Wallace', 'Blake Maniquis', 'John Peter Bernardo']",46–56 minutes,"['Rock Fish', 'Red Canoe Productions']",,Netflix,4K (16:9 UHDTV in HDR),Dolby Digital,"April 15, 2020 (2020-04-15) –present (present)",46,present,,,,,,,,Chase Stokes,,,,"['Aaron Miller', 'Sunny Hodge']",,,,,,Fil Eisler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sweet Magnolias,Romantic drama,,"['JoAnna Garcia Swisher', 'Brooke Elliott', 'Heather Headley', 'Logan Allen', 'Anneliese Judge', 'Carson Rowland', 'Justin Bruening', 'Chris Klein', 'Jamie Lynn Spears']",,United States,English,1,10,"['Sherryl Woods', 'Sheryl J. Anderson', 'Dan Paulson']",Brian Johnson,"['Daria Ellerman', 'Jason Pielak', 'Alison Grace', 'Mark Shearer']",43–52 minutes,,,Netflix,,,"May 19, 2020 (2020-05-19) –present",43,present,,Matt Drake,,,Sweet Magnolias booksby Sherryl Woods,Sheryl J. Anderson,,,"""Destination"" by Nickel Creek",Daniel L. Paulson Productions,,,,,,,,James Jandrisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blood & Water,,,"['Amamkele Qamata', 'Khosi Ngema', 'Gail Mabalane']",,South Africa,English,1,6,"['Bradley Joshua', 'Benjamin Overmeyer', 'Nosipho Dumisa-Ngoasheng (as Nosipho Dumisa)', 'Daryne Joshua', 'Travis Taute']",Zenn Van Zyl,"['Simon Beesley', 'Tessa Verfuss', 'Andrea Shaw']",43–53 minutes,,Netflix,Netflix,,,20 May 2020 (2020-05-20) –present (present),43,present,Mr. Kamera,Gambit Films,,"Cape Town, South Africa",,,,Ama Qamata,Blood & Water,Gambit Films,,,Nasty C,,,"['Nosipho Dumisa-Ngoasheng (as Nosipho Dumisa)', 'Daryne Joshua', 'Travis Taute']","['Nosipho Dumisa-Ngoasheng (as Nosipho Dumisa)', 'Daryne Joshua', 'Travis Taute']",,Amamkele Qamata,I Need You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Homemade,,,,,"['Italy', 'Chile']",English,N/A,N/A,,,,4-11 minutes,"['Fabula', 'The Apartment Pictures']",Netflix,,,,"June 30, 2020 (2020-06-30)",4,06,,,,,,,,,,,,"['Pablo Larraín', 'Juan de Dios Larraín', 'Lorenzo Mieli']",,,,,"['Ladj Ly', 'Paolo Sorrentino', 'Rachel Morrison', 'Pablo Larraín', 'Rungano Nyoni', 'Natalia Beristáin', 'Sebastian Schipper', 'Naomi Kawase', 'David Mackenzie', 'Maggie Gyllenhaal', 'Nadine Labaki', 'Khaled Mouzanar', 'Antonio Campos', 'Johnny Ma', 'Kristen Stewart', 'Gurinder Chadha', 'Sebastián Lelio', 'Ana Lily Amirpour']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Warrior Nun,"['Fantasy', 'Drama', 'Supernatural', 'Occult detective', 'Superhero']",Simon Barry,"['Alba Baptista', 'Toya Turner', 'Thekla Reuten', 'Lorena Andrea', 'Kristina Tonteri-Young', 'Tristan Ulloa']",,United States,English,1,10 ,"['Simon Barry', 'Stephen Hegyes', 'Jet Wilkinson', 'Dean English', 'Robert Burke']",,,37–50 minutes,,Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 2, 2020 (2020-07-02) –present (present)",37,present,,,Spain,,['Ben Dunn'],,,Alba Baptista,,Reality Distortion Field,,"['Zack Tucker Gangnes', 'Peter Welter Soler', 'Matt Bosack', 'Todd Giroux']",Jeff Russo,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cursed,"['Fantasy', 'Serial drama', 'Adventure', 'Action']","['Frank Miller', 'Tom Wheeler']","['Katherine Langford', 'Devon Terrell', 'Gustaf Skarsgård', 'Daniel Sharman', 'Sebastian Armesto', 'Lily Newmark', 'Peter Mullan', 'Shalom Brune-Franklin', 'Bella Dayne', 'Matt Stokoe']",,United States,English,1,10,"['Frank Miller', 'Tom Wheeler']",,,48–59 minutes,"['Arcanum', 'Frank Miller Ink']",Netflix,Netflix,,Stereo,"July 17, 2020 (2020-07-17)",48,07,,Alex Boden,United Kingdom,,"['Frank Miller', 'Tom Wheeler']",,,,,,,,Jeff Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Young Wallander,,,,,"['Sweden', 'United Kingdom']",English,1,6,,,,41-52 minutes,,,Netflix,HDTV 1080p,Stereo,"September 3, 2020 (2020-09-03) –present",41,present,,Berna Levin,,,,,,,,Yellow Bird,,,,,,"['Benjamin Harris', 'Jessica Ruston', 'Anoo Baghavan', 'Ben Schiffer']","['Ole Endresen', 'Jens Jonsson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ratched,"['Drama', 'Psychological thriller']",Evan Romansky,"['Sarah Paulson', 'Finn Wittrock', 'Cynthia Nixon', 'Jon Jon Briones', 'Charlie Carver', 'Judy Davis', 'Sharon Stone']",,United States,English,1,8,"['Aleen Keshishian', 'Margaret Riley', 'Jacob Epstein', 'Michael Douglas', 'Robert Mitas', 'Jennifer Salt', 'Sarah Paulson', 'Ian Brennan', 'Tim Minear', 'Alexis Martin Woodall', 'Ryan Murphy']","['Nelson Cragg', 'Blake McClure', 'Andrew Mitchell', 'Simon Dennis']","['Shelly Westerman', 'Peggy Tachdjian', 'Ravi Subramanian', 'Ken Ramos', 'Danielle Wang']",45–62 minutes,"['Further Films', 'Lighthouse Management + Media', 'Ryan Murphy Television', 'Touchstone Television (Season 1)', '20th Television (Season 2-onwards)']",Disney–ABC Domestic Television,Netflix,Widescreen,"Stereo, Dolby Digital 5.1","September 18, 2020 (2020-09-18) –present (present)",45,present,,,,,The character of Nurse Ratched from One Flew Over the Cuckoo's Nestby Ken KeseyFrom the Saul Zaentz Company motion picture with the same title,Ryan Murphy,,,"""Danse Macabre, Op. 40"" by Camille Saint-Saëns",,,"['Paul Zaentz', 'Todd Nenninger', 'Eric Kovtun', 'Lou Eyrich', 'Eryn Krueger Mekash', 'Sara Stelwagen', 'Tanase Popa']",Mac Quayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Haunting of Bly Manor,"['Gothic romance', 'Drama', 'Supernatural', 'Horror']",Mike Flanagan,"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller"", 'Rahul Kohli', 'Tahirah Sharif', 'Amelie Bea Smith', 'Benjamin Evan Ainsworth', 'Henry Thomas']",,United States,English,N/A,9 ,"['Darryl Frank', 'Justin Falvey', 'Trevor Macy', 'Mike Flanagan', 'Diane Ademu-John']","['James Kniest', 'Maxime Alexandre']","['Brian Jeremiah Smith', 'Mike Flanagan']",46–66 minutes,"['Intrepid Pictures', 'Amblin Television', 'Paramount Television Studios']",,Netflix,,,"October 9, 2020 (2020-10-09)",46,10,,,,,The work of Henry James,,,,,,The Haunting of Hill House,"['Kathy Gilroy', 'Leah Fong']",The Newton Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Social Distance,Anthology,Hilary Weisman Graham,,,United States,English,N/A,8,"['Jenji Kohan', 'Tara Herrmann', 'Hilary Weisman Graham', 'Blake McCormick']","['Pedro Luque', 'Mark Schwartzbard', 'Alison Kelly', 'Michael Berlucchi']","['Liza Cardinale', 'Tyler L. Cook', 'Amy Fleming']",18–23 minutes,"['Tilted Productions', 'Wordless Pictures']",,Netflix,,,"October 15, 2020 (2020-10-15)",18,10,,,,,,,,,,,,"['Alex Orr', 'Ashley Glazier']",,,,,,Jonathan Sanford,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Grand Army,Teen drama,Katie Cappiello,"[""Odessa A'zion"", 'Odley Jean', 'Amir Bageria', 'Maliq Johnson', 'Amalia Yoo', 'Alphonso Romero Jones, II', 'Thelonius Serrell-Freed', 'Anthony Ippolito', 'Brian Altemus']",,United States,English,1,9,"['Katie Cappiello', 'Nicolette Donen', 'Elizabeth Kling', 'Beau Willimon', 'Jordan Tappis', 'Joshua Donen']","['Ava Berkofsky', 'Bobby Shore', 'Autumn Eakin', 'Andrew Wehde']","['JoAnne Yarrow', 'Fabienne Bouville', 'Darrel Drinkard', 'Jon Otazua', 'Jessica Hernández']",47–72 minutes,,Netflix,Netflix,,,"October 16, 2020 (2020-10-16)",47,10,,Chris Hatcher,,,,,,,,Westward,,,,,,,,Morgan Kibby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,The Queen's Gambit,Period drama,"['Scott Frank', 'Allan Scott']","['Anya Taylor-Joy', 'Bill Camp', 'Moses Ingram', 'Isla Johnston', 'Christiane Seidel', 'Rebecca Root', 'Chloe Pirrie', 'Akemnji Ndifornyen', 'Marielle Heller', 'Harry Melling', 'Patrick Kennedy', 'Jacob Fortune-Lloyd', 'Thomas Brodie-Sangster', 'Marcin Dorociński']",,United States,English,N/A,7 ,"['William Horberg', 'Allan Scott', 'Scott Frank']",Steven Meizler,,46–67 minutes,"['Flitcraft Ltd', 'Wonderful Films']",,Netflix,,,"October 23, 2020 (2020-10-23)",46,10,,,,,The Queen's Gambitby Walter Tevis,,,,,,,"['Marcus Loges', 'Mick Aniceto']",,Michelle Tesoro,,Scott Frank,Scott Frank,Carlos Rafael Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dash & Lily,Romantic comedy,Joe Tracz,"['Austin Abrams', 'Midori Francis', 'Dante Brown', 'Troy Iwata']",,United States,English,1,8,"['Brad Silberling', 'Nick Jonas', 'Phil McIntyre', 'Shawn Levy', 'Josh Barry', 'Joe Tracz']",Eric Treml,"['Robert Nassau', 'Jane Rizzo', 'Joe Giganti']",23–27 minutes,"['21 Laps Entertainment', 'Boy Detective Inc.', 'Image 32']",,Netflix,,,"November 10, 2020 (2020-11-10)",23,11,,Karl Frankenfield,,,Dash & Lily's Book of Daresby Rachel Cohn & David Levithan,,,,,,,,,,,,,Dan the Automator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Selena: The Series,"['Biographical', 'Musical', 'Drama']",Moisés Zamora,"['Christian Serratos', 'Gabriel Chavarria', 'Ricardo Chavira', 'Noemi Gonzalez', 'Seidy Lopez']","['Camilo Froideval', 'Dan Zlotnik']",United States,,1,9,"['Jamie Davila', 'Rico Martinez', 'Suzette Quintanilla', 'Simran A. Singh', 'Hiromi Kamata', 'Moisés Zamora']",Chuy Chavez,"['Karen Antunes', 'Mario Monroy Nieblas', 'Joselito Martínez', 'Karina Espinoza Vázquez']",32–40 minutes,"['Campanario Entertainment', 'Baja Studios']",Netflix,Netflix,,,"December 4, 2020 (2020-12-04) –present (present)",32,present,,,,,,,El secreto de Selena (2018),,,,,"['Luisa Gomez de Silva', 'Lisa Matsukawa']",,,,,,,,,,Selena: la serie,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tiny Pretty Things,Drama,Michael MacLennan,"['Brennan Clost', 'Barton Cowperthwaite', 'Bayardo De Murguia', 'Damon J. Gillespie', 'Kylie Jefferson', 'Casimere Jollette', 'Anna Maiche', 'Daniela Norman', 'Michael Hsu Rosen', 'Tory Trowbridge', 'Jess Salgueiro', 'Lauren Holly']",,United States,English,1,10,"['Michael MacLennan', 'Jordanna Fraiberg', 'Gabrielle Neimand', 'Kiliaen Van Rensselaer', 'Deborah Henderson', 'Carrie Mudd']",Luc Montpellier,"['Ben Wilkinson', 'Duncan Christie', 'Lisa Grootenboer']",54–58 minutes,"['Peacock Alley Entertainment, Inc.', 'Action Man Entertainment', 'Insurrection Media']",,Netflix,,,"December 14, 2020 (2020-12-14)",54,12,,Mary Anne Waterhouse,,"Toronto, Ontario, Canada",Tiny Pretty Thingsby Sona Charaipotra & Dhonielle Clayton,,,,,,,,,,,,,James Jandrisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bridgerton,"['Regency romance', 'Period drama']",Chris Van Dusen,"['Adjoa Andoh', 'Lorraine Ashbourne', 'Jonathan Bailey', 'Ruby Barker', 'Sabrina Bartlett', 'Harriet Cains', 'Bessie Carter', 'Nicola Coughlan', 'Phoebe Dynevor', 'Ruth Gemmell', 'Florence Hunt', 'Claudia Jessie', 'Ben Miller', 'Luke Newton', 'Regé-Jean Page', 'Golda Rosheuvel', 'Luke Thompson', 'Will Tilston', 'Polly Walker', 'Julie Andrews']",,United States,English,1,8,"['Shonda Rhimes', 'Betsy Beers', 'Chris Van Dusen', 'Julie Anne Robinson']",,,57–72 minutes,,Netflix,,,,"December 25, 2020 (2020-12-25) –present (present)",57,present,,,,,Bridgertonby Julia Quinn,,,,,Shondaland,,"['Sarada McDermontt', 'Holden Chang', 'Sarah Dollard']",Kris Bowers,Jim Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fate: The Winx Saga,"['Teen drama', 'Supernatural', 'Fantasy']",Brian Young,"['Abigail Cowen', 'Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt', 'Elisha Applebaum', 'Danny Griffin', 'Sadie Soverall', 'Freddie Thorp', 'Eva Birthistle', 'Robert James-Collier', 'Eve Best', 'Lesley Sharp']",,"['United Kingdom', 'Italy']",English,1,6,"['Brian Young', 'Judy Counihan', 'Kris Thykier', 'Cristiana Buzzelli', 'Joanne Lee']","['Frida Wendel', 'Tim Fleming', 'Baz Irvine']","['Laura Morrod', 'Mike Jones', 'Adam Green']",47–53 minutes,"['Archery Pictures', 'Young Blood Productions', 'Rainbow S.p.A. (ViacomCBS)']",Netflix,Netflix,"['1080p (2:1 HDTV)', '2160p (2:1 4K UHD)']",Dolby Digital 5.1,22 January 2021 (2021-01-22) –present (present),47,present,,,Ireland,,Winx Clubby Iginio Straffi,,,,,,,"['Jon Finn', 'Macdara Kelleher', 'John Keville']",Anne Nikitin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Firefly Lane,Drama,Maggie Friedman,"['Katherine Heigl', 'Sarah Chalke', 'Ben Lawson', 'Beau Garrett', 'Ali Skovbye', 'Roan Curtis', 'Yael Yurman']",,United States,English,1,10,"[""Peter O'Fallon"", 'Stephanie Germain', 'Katherine Heigl', 'Shawn Williamson', 'Lee Rose', 'Maggie Friedman']",Vincent De Paula,"['Jamin Bricker', 'Lisa Binkley', 'Alison Grace', 'Lisa Robison']",47–53 minutes,"['Stephanie Germain Productions', 'Curly Girly Productions']",,Netflix,,,"February 3, 2021 (2021-02-03)",47,02,,Aaron Au,,"Burnaby, British Columbia",Firefly Laneby Kristin Hannah,,,,,,,,,,,,,Wendy Melvoin & Lisa Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Behind Her Eyes,,Steve Lightfoot,"['Simona Brown', 'Eve Hewson', 'Tom Bateman', 'Robert Aramayo']",,United Kingdom,English,N/A,6,"['Steve Lightfoot', 'Eliza Mellor', 'Suzanne Mackie', 'Andy Harries', 'Jessica Burdett']",Felix Wiedemann,"['Amy Hounsell', 'Brenna Rangott']",47–53 minutes,"['Sony Pictures Television', 'Left Bank Pictures']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,17 February 2021 (2021-02-17),47,02,,,,,Behind Her Eyes by  Sarah Pinborough,,,,,,,,Rupert Gregson-Williams,,Single-camera,,Erik Richter Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ginny & Georgia,Drama,Sarah Lampert,"['Brianne Howey', 'Antonia Gentry', 'Diesel La Torraca', 'Jennifer Robertson', 'Felix Mallard', 'Sara Waisglass', 'Scott Porter', 'Raymond Ablack', 'Mason Temple']",,United States,English,N/A,N/A,"['Sarah Lampert', 'Debra J. Fisher', 'Anya Adams', 'Jeff Tahler', 'Jenny Daly', 'Holly Hines', 'Daniel March']",,,,"['Madica Productions', 'Critical Content', 'Dynamic Television']",,Netflix,,,,,,,,,"Toronto, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Shadow and Bone,Fantasy,Eric Heisserer,"['Jessie Mei Li', 'Ben Barnes', 'Freddy Carter', 'Amita Suman', 'Kit Young', 'Archie Renaux']",,,English,N/A,N/A,"['Eric Heisserer', 'Shawn Levy', 'Pouya Shahbazian', 'Leigh Bardugo', 'Dan Levine', 'Dan Cohen', 'Josh Barry']",,,,,,Netflix,,,,,,,,Hungary,,Shadow and Bone and Six of Crowsby Leigh Bardugo,,,,,21 Laps Entertainment,,,Joseph Trapanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Grace and Frankie,Comedy,"['Marta Kauffman', 'Howard J. Morris']","['Jane Fonda', 'Lily Tomlin', 'Sam Waterston', 'Martin Sheen', 'Brooklyn Decker', 'Ethan Embry', 'June Diane Raphael', 'Baron Vaughn']","['Sam KS', 'Michael Skloff']",United States,English,6,78 ,"['Marta Kauffman', 'Howard J. Morris', 'Jane Fonda', 'Lily Tomlin', 'Tate Taylor (pilot)', 'Paula Weinstein', 'Dana Goldberg', 'David Ellison', 'Marcy Ross', 'Alexa Junge']",Gale Tattersall,"['Lisa Zeno Churgin', 'Michael Jablow', 'Sarah Lucky']",25–35 minutes,"['Okay Goodnight', 'Skydance Television']",Netflix,Netflix,4K (Ultra HD),,"May 8, 2015 (2015-05-08) –present (present)",25,present,,,,"Los Angeles, California",,,,,"""Stuck in the Middle with You""performed by Grace Potter",,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Master of None,Comedy-drama,"['Aziz Ansari', 'Alan Yang']","['Aziz Ansari', 'Noël Wells', 'Eric Wareheim', 'Kelvin Yu', 'Lena Waithe', 'Alessandra Mastronardi']","['Didier Leplae', 'Joe Wong']",United States,English,2,20 ,"['Aziz Ansari', 'Alan Yang', 'Michael Schur', 'Dave Becky', 'David Miner']",Mark Schwartzbard,"['Jennifer Lilly', 'Suzy Elmiger', 'Daniel Haworth']",21–57 minutes,"['Alan Yang Pictures', 'Oh Brudder Productions', 'Fremulon', '3 Arts Entertainment', 'Universal Television']",Netflix,Netflix,4K (2.35:1 UHDTV),Dolby Digital 5.1 with Descriptive Video Service track,"November 6, 2015 (2015-11-06) –present",21,present,,Igor Srubshchik,,New York CityModena,,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Dear White People,Comedy-dramaSatire,Justin Simien,"['Logan Browning', 'Brandon P. Bell', 'DeRon Horton', 'Antoinette Robertson', 'John Patrick Amedori', 'Ashley Blaine Featherson', 'Marque Richardson', 'DJ Blickenstaff', 'Giancarlo Esposito']",,United States,English,3,30 ,"['Justin Simien', 'Yvette Lee Bowser', 'Stephanie Allain', 'Julia Lebedev']",,,21–36 minutes,"['SisterLee Productions', 'Culture Machine', 'Code Red', 'Homegrown Pictures', 'Roadside Attractions', 'Lionsgate Television']",Netflix,Netflix,,,"April 28, 2017 (2017-04-28) –present (present)",21,present,,,,,Dear White Peopleby Justin Simien,,,Giancarlo Esposito,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Atypical,"['Comedy-drama', 'Coming-of-age']",Robia Rashid,"['Keir Gilchrist', 'Jennifer Jason Leigh', 'Brigette Lundy-Paine', 'Michael Rapaport', 'Amy Okuda']",,United States,English,3,28 ,,,,26–38 minutes,Weird BrainExhibit ASony Pictures Television,Netflix,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",26,present,,Jennifer Jason Leigh,,"Los Angeles, California",,,,,,,,,Dan Romer,,,,,,,,,,,"Robia Rashid
Seth Gordon

Mary Rohlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,On My Block,"['Teen drama', 'Comedy-drama']","['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Sierra Capri', 'Jason Genao', 'Brett Gray', 'Diego Tinoco', 'Jessica Marie Garcia', 'Julio Macias']",,United States,,3,28 ,"['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Joe Kessler', 'Tommy Maddox-Upshaw', 'Tarin Anderson']",,23–36 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,"March 16, 2018 (2018-03-16) –present (present)",23,present,,,,,,,,,,Crazy Cat Lady Productions,,"['Jamie Dooner', 'Robert Sudduth', 'Hal Olofsson', 'Arlyn Richardson']",KOVAS,,Single-camera,,,,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,The Kominsky Method,Comedy-drama,Chuck Lorre,"['Michael Douglas', 'Alan Arkin', 'Sarah Baker', 'Nancy Travis', 'Kathleen Turner']",,United States,English,2,16 ,"['Chuck Lorre', 'Al Higgins', 'Michael Douglas']",Anette Haellmigk,"['Matthew Barbato', 'Gina Sansom']",22–33 minutes,"['Chuck Lorre Productions', 'Warner Bros. Television']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"November 16, 2018 (2018-11-16) –present (present)",22,present,,Marlis Pujol,,,,,,,,,,,Jeff Cardoni,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
